,scrublet_threshold
pM10278_2_BM_CD138pos_GEX_5,0.4338334109914902
NDM1069_1_BM_CD138pos_GEX_5,0.5116218120585283
pM2091_1_PB_CD138pos_GEX_5,0.4373524424793948
NDM1066_1_PB_CD138pos_GEX_5,0.4429014358917328
pM10172_1_BM_CD138neg_GEX_5,0.2309423990704772
pM10878_1_PB_CD138pos_GEX_5,0.5138749266118695
pM10978_1_BM_CD138neg_GEX_5,0.2796607634318535
pM10879_1_BM_CD138pos_GEX_5,0.3609689037129103
pM1726_1_BM_CD138neg_GEX_5,0.43388197791482985
pM10978_1_BM_CD138pos_GEX_5,0.2010565637783072
pM10938_1_BM_CD138neg_GEX_5,0.27309680748015364
pM1712_1_PB_CD138pos_GEX_5,0.5089447447263746
pM10172_1_BM_CD138pos_GEX_5,0.7521594554236406
pM10938_1_BM_CD138pos_GEX_5,0.36182969491693046
pM10278_1_BM_CD138neg_GEX_5,0.37667886516260474
pM11104_1_BM_CD138neg_GEX_5,0.39337409032534254
pM1358_1_PB_CD138pos_GEX_5,0.385894863545732
pM10278_1_BM_CD138pos_GEX_5,0.4196282407189949
pM11104_1_BM_CD138pos_GEX_5,0.6174217962449589
pM10879_1_BM_CD138neg_GEX_5,0.23593942270193075
pM1726_1_BM_CD138pos_GEX_5,0.49898291210301404
NDM1069_1_BM_CD138neg_GEX_5,0.4201266127542804
